Site_num,Cladstel,Cladrang,Pleuschr,Vaccviti,Cladarbu,Cladunci,Callvulg,Stersp,Pinusylv,Empenigr,Ptilcili,Dicrfusc,Dicrpoly,Polypili,Polyjuni,Pohlnuta,Cladcocc,Cladcorn,Cladgrac,Cladcris,Cetrisla,Peltapht,Cladphyl,Rhodtome,Vaccmyrt,Descflex,Betupube,Vacculig,Diphcomp,Dicrsp,Hylosple,Polycomm,Barbhatc,Cladfimb,Cladchlo,Cladbotr,Cladamau,Cladsp,Cetreric,Flavniva,Nepharct,Icmaeric,Cladcerv,Claddefo
2,75,24.5,0.75,8.5,0.48,0.2,0.05,0,0.03,9.3,0.03,0.03,0,0,0.03,0,0,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,0,0,0,0,0,0,0,0.03,0.03
3,55.6,29.5,0.05,4.43,8.8,0.25,0.03,0.28,0,3.65,0.03,0.55,0,0,0,0.03,0.08,0.25,0.25,0.1,0,0,0,0,0,0,0,1.65,0.5,0,0,0,0,0.15,0.03,0,0.03,0,0.05,0.15,0.15,0,0,0.08
4,28.2,20.03,1.53,1.98,15.73,0.73,3.4,0.95,0.05,0.63,0,0.2,0,0,0.1,0.05,0.1,0.15,0.13,0.15,0.05,0,0,0,0,0.05,0,0.03,0,0,0,0,0,0.1,0,0,0,0.05,0.28,10.03,0,0,0.05,0.08
5,0.98,59,0.03,2.75,18.5,0.28,0,10.28,0.03,0.13,0,0.25,0.03,0.18,0.65,0,0.23,0.23,0.23,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.03,0,0.18,0.28,0,0.1,0,0.25
6,11.3,37.5,0.05,10.5,39,3.45,0.3,0.03,0.1,5.75,0.08,0.85,0,0.03,0.08,0,0.18,0.2,0.25,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.03,0,0,0.03,0.35,0.08,0,0,0,0.28
7,0.28,42.5,0.1,8.2,35,0.35,0,0.93,0,5.3,0,0.45,0.03,0,0.25,0.03,0.08,0.2,0.25,0.13,0,0,0,0,0,0.05,0,8.1,0.28,0,0,0,0,0.18,0.08,0,0,0,0.05,0.23,0.2,0.03,0,0.1
9,84.3,4,4.07,20.5,0.46,0.25,0,0,0.25,3.47,0.25,0.38,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.67,0,0,0,0.25
10,84.3,8.7,0.67,11.9,1.3,0.25,0.25,0.25,0.25,11,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0.25,0,0,0,0.25
11,31.8,29.8,17.7,12.9,9.67,2.53,2.37,0.93,0.8,0.67,0.67,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,63.3,14.6,6,15.8,3.6,1.3,0.25,0,1.2,11.5,0,0.25,0,0,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25
13,11.9,23.67,5.52,5.3,23.07,0.95,24.13,0.03,0.12,1.9,0.25,2.5,0,0,0.02,0.03,0.17,0.05,0.23,0.57,0.02,0.02,0,0.07,0.22,0,0,0,0.07,0.02,0,0,0.07,0.18,0.02,0.07,0,0.07,0.18,0,0,0,0,0.47
14,0.12,1.32,7.75,5.3,17.45,23.68,3.75,0.33,0.1,5.65,0,11.32,0,0,0.3,0.07,0.22,0.5,0.15,0.97,0.02,0,0.05,0,0.08,0,0,0,0,0,0,0.02,0,0.23,0,0,0,0,0.68,0,0,0.02,0,1.57
15,0.18,8.13,37.75,12.13,12.05,2.65,0.67,0.85,0.12,0.17,0.02,10.92,0.02,0.02,0.23,0.03,0.13,0.18,0.23,1.23,0.03,0,0,0,0.35,0,0,0,0,0.33,0,0,0,0.25,0,0,0,0,0.15,0,0,0,0,1
16,0.02,14.03,18.98,4.33,7.13,0.82,4.47,0.03,0.1,7.33,0.1,25.8,0.23,0,0.02,0.13,0.15,0.05,0.22,0.17,0.08,0,0,0,2.15,0,0,0,0,1.02,0,0,0,0.22,0,0,0,0.02,0.18,0,0,0.07,0,0.67
18,3.5,21.47,4.67,17.8,21.73,0.3,0.55,0.62,0.07,11.13,0.12,1.62,0,0.02,0.13,0.13,0.18,0.23,0.25,0.23,0,0.02,0,0,0,0,0,1.6,2.07,0,0,0,0,0.25,0,0,0.08,0.02,0.02,0.12,0.02,0,0,0.25
19,22.08,4.95,21.03,10.28,7.23,0.25,0,0.28,0.12,8.92,0.27,0.32,0.02,0.02,1.58,0.07,0.1,0.25,0.18,0.12,0,0,0,0,2.42,0.02,0,0,0,0,0,0.18,0.02,0.1,0.05,0.02,0,0,0,0.02,0,0,0,0.37
20,0.05,11.22,13.73,14.13,6.8,4.75,0.02,0,0.07,6.45,0,1.87,0.08,0.07,0.05,0.12,0.03,0.12,0.22,0.07,0,0,0,0,0,0,0,0.47,0,0.85,1.35,0,0,0.18,0,0.02,0,0.02,0.15,0,0.02,0,0,1.2
21,10.9,4.7,2,25,0.7,0.25,0,0,0.25,16,10,0.25,3,0,0.25,0.25,0,0.05,0.25,0.25,0.67,0,0,4,15,0.5,0.25,0,0,0.25,0,0.25,3,0.25,0.25,0.25,0,0,0,0,0,0,0,0.4
22,0.23,3.6,26.38,12.4,6.1,2.38,4.73,0,0.1,5.12,0.03,37.07,0,0,0,0.1,0.17,0.13,0.18,0.2,0,0,0,1.55,6.05,0.78,0.02,2,0,0.03,0,0,0,0.2,0.02,0,0,0.02,0.02,0,0,0,0,0.15
23,0.05,9.22,19.42,23.73,9.08,0.73,0,1.58,0.03,12.68,1.8,3.42,0.02,0.02,2.12,0.17,0.08,1.42,0.5,1.78,0,0.33,0,0,0,0,0,0,0,0,0,0,0.02,0.17,0.05,0.05,0,0,0,0.02,0,0,0,1.97
24,0.07,5.52,32.92,13.47,3.58,8.93,0.1,0.03,0.25,1.55,0.03,0,1.68,0,0.23,0.32,0,0.2,0.48,0.07,0.12,0,0,0,0,0,0,0,0,23.43,0,0,0,0,0.1,0.02,0,0,0.78,0,0,0,0,0.33
25,0,2.25,28.77,10.6,6,0.8,0,0.1,0.02,6.93,0.22,10.82,0,0,6.98,0,0.12,0.57,0.17,0.07,0.02,0.07,0,0,0,0.1,0.02,0.05,0.07,14.02,0.02,0.13,0,0.15,0,0,0,0.02,0.03,0,4.87,0,0.02,0.05
